probeid,day,asn_v4,address_v4,address_v6,tagged_version,connectivity
437,20160518,29695,92.221.182.85,2a01:79d:7376:d954:220:4aff:fec8:2566,system-v1,v4-v6-works
439,20160518,12322,78.192.47.118,2a01:e34:ec02:f760:220:4aff:fec8:2539,system-v1,v4-v6-works
446,20160518,37708,196.192.112.229,2001:43f8:90:608:220:4aff:fec6:ccab,system-v1,v4-v6-works
452,20160518,13030,82.197.168.106,2001:1620:2777:22:220:4aff:febf:fde2,system-v1,v4-v6-works
456,20160518,34245,,,system-v1,v4-v6-works
461,20160518,5539,,,system-v1,v4-v6-works
473,20160518,3741,196.4.161.3,2c0f:fc00:53:4161:220:4aff:fec8:2447,system-v1,v4-v6-works
474,20160518,1835,130.226.100.65,2001:878:0:e264:220:4aff:febf:fc74,system-v1,v4-v6-works
475,20160518,3265,82.161.41.47,2001:980:5e80:1:220:4aff:fec6:cd6f,system-v1,v4-v6-works
518,20160518,29075,212.85.144.248,2a02:2178:1:1:220:4aff:febf:fba0,system-v1,v4-v6-works
523,20160518,197422,91.224.149.149,2a03:7220:8081:9500::1,system-v1,v4-v6-works
524,20160518,199399,176.126.38.186,2001:7f8:6e:2:220:4aff:febf:fbbc,system-v1,v4-v6-works
529,20160518,25596,,,system-v1,v4-v6-works
538,20160518,16154,217.79.79.54,2a02:7900:1:2::2,system-v1,v4-v6-works
539,20160518,15782,81.186.241.8,2001:7a0:1:4:220:4aff:febf:fbef,system-v1,v4-v6-works
555,20160518,680,193.174.247.95,2001:638:206:1:220:4aff:febf:ff40,system-v1,v4-v6-works
558,20160518,12628,193.110.180.206,2001:67c:2738:200:220:4aff:febf:ff56,system-v1,v4-v6-works
559,20160518,5408,194.177.211.250,2001:648::220:4aff:febf:ff42,system-v1,v4-v6-works
563,20160518,13306,185.20.88.30,2a00:4e60::30,system-v1,v4-v6-works
566,20160518,760,,,system-v1,v4-v6-works
567,20160518,2609,193.95.66.40,2001:4350:1:1:220:4aff:febf:ff48,system-v1,v4-v6-works
572,20160518,8632,212.233.33.6,2a02:678:520:e600:220:4aff:febf:ff60,system-v1,v4-v6-works
574,20160518,3292,62.65.31.1,2a02:228:101:44:220:4aff:febf:ff61,system-v1,v4-v6-works
578,20160518,1764,81.16.152.178,2a01:190:1700:2a:220:4aff:febf:ff67,system-v1,v4-v6-works
587,20160518,9031,79.132.232.99,2a02:578:8500:101:220:4aff:febf:ff5f,system-v1,v4-v6-works
589,20160518,1853,,,system-v1,v4-v6-works
600,20160518,50168,31.31.161.66,2a02:4b00:1:99:220:4aff:febf:ff80,system-v1,v4-v6-works
601,20160518,13124,,,system-v1,v4-v6-works
607,20160518,56791,176.32.128.19,2a00:9e80:0:c010:220:4aff:febf:ff6f,system-v1,v4-v6-works
610,20160518,34688,194.116.252.246,2a01:5e00:0:11:220:4aff:febf:ff89,system-v1,v4-v6-works
616,20160518,51290,91.216.191.246,2001:67c:2044:f597::2,system-v1,v4-v6-works
617,20160518,15605,109.73.81.4,2a00:1cc8:0:ff00:220:4aff:febf:ff7c,system-v1,v4-v6-works
627,20160518,3292,131.164.255.98,2001:6c8:130:200:220:4aff:febf:ff87,system-v1,v4-v6-works
628,20160518,43782,79.132.99.22,2a00:1138:0:2:220:4aff:febf:ffa1,system-v1,v4-v6-works
629,20160518,50620,,,system-v1,v4-v6-works
633,20160518,2847,193.219.61.65,2001:778::65,system-v1,v4-v6-works
637,20160518,39904,195.189.0.242,2a02:7a00:0:5:220:4aff:febf:ff8e,system-v1,v4-v6-works
644,20160518,16347,,,system-v1,v4-v6-works
650,20160518,12874,,,system-v1,v4-v6-works
665,20160518,1653,,,system-v1,v4-v6-works
666,20160518,21263,212.62.221.200,2a02:590:bad:0:220:4aff:fec5:5887,system-v1,v4-v6-works
668,20160518,42514,,,system-v1,v4-v6-works
669,20160518,33924,84.20.64.71,2a00:6b80:1:0:220:4aff:fec5:5443,system-v1,v4-v6-works
672,20160518,31543,,,system-v1,v4-v6-works
683,20160518,51182,178.250.251.236,2a02:1718:a:5b13:220:4aff:fec5:588b,system-v1,v4-v6-works
688,20160518,34279,81.89.18.82,2a00:13b8::12:52,system-v1,v4-v6-works
698,20160518,34279,81.89.29.230,2a00:13b8::1d:e6,system-v1,v4-v6-works
699,20160518,29632,62.205.157.197,2a01:d0:0:23::2,system-v1,v4-v6-works
