probeid,day,asn_v4,address_v4,address_v6,tagged_version,connectivity
814,20160518,41000,176.74.16.164,2a00:b980:100:1::4,system-v1,v4-v6-works
820,20160518,24956,217.13.64.36,2a00:1030:0:48::4,system-v1,v4-v6-works
823,20160518,8879,212.62.68.21,2a00:1348::220:4aff:fec6:cb3e,system-v1,v4-v6-works
830,20160518,43382,77.74.170.62,2001:67c:2700:1920::62,system-v1,v4-v6-works
833,20160518,29422,188.117.5.237,2001:1bc8:101:ea00:220:4aff:fec6:cfd7,system-v1,v4-v6-works
834,20160518,8648,,,system-v1,v4-v6-works
844,20160518,199071,193.189.137.175,2001:67c:3f8:b:220:4aff:fec7:ae5e,system-v1,v4-v6-works
858,20160518,31712,95.128.15.132,2a04:4107:fffc:300:220:4aff:fec7:ae7c,system-v1,v4-v6-works
865,20160518,31712,,,system-v1,v4-v6-works
867,20160518,25376,82.148.227.13,2a00:1b98:1:0:220:4aff:fec7:ae01,system-v1,v4-v6-works
876,20160518,50056,178.18.118.101,2a01:8000:1ffa:f030:220:4aff:fec7:af00,system-v1,v4-v6-works
881,20160518,43081,,,system-v1,v4-v6-works
882,20160518,12502,193.105.105.194,2001:14f8:200:3::6,system-v1,v4-v6-works
883,20160518,43127,77.74.168.62,2a01:b100:1f0:1900:220:4aff:fec7:ae34,system-v1,v4-v6-works
898,20160518,34019,193.17.192.110,2001:67c:1740:200:220:4aff:fec7:af7c,system-v1,v4-v6-works
899,20160518,34878,129.13.70.22,2a00:1398:8:15:220:4aff:fec7:ae50,system-v1,v4-v6-works
919,20160518,680,141.89.226.52,2001:638:807:201:220:4aff:fec7:ae6e,system-v1,v4-v6-works
926,20160518,56740,31.130.200.9,2001:67c:2268:0:220:4aff:fec7:af97,system-v1,v4-v6-works
939,20160518,31019,91.228.151.62,2001:67c:22dc:386:220:4aff:fec7:aef7,system-v1,v4-v6-works
951,20160518,20612,194.242.34.240,2001:67c:20ac:0:220:4aff:fec7:af53,system-v1,v4-v6-works
